ID,Company,TypeName,Inches,resolution_width,resolution_height,TouchScreen,cpu_brand,cpu_name,cpu_speed,Ram,Memory_Type,primary_memory,secondary_memory,Gpu_brand,OpSys,Weight,Price
1,Apple,Ultrabook,13.3,2560,1600,0,Intel,"Core i5",2.30,8,SSD,128,0,Intel,Mac,1,71379
2,Apple,Ultrabook,13.3,1440,900,0,Intel,"Core i5",1.80,8,"Flash Storage",128,0,Intel,Mac,1,47896
3,HP,Notebook,15.6,1920,1080,0,Intel,"Core i5",2.50,8,SSD,256,0,Intel,N/A,1,30636
4,Apple,Ultrabook,15.4,2880,1800,0,Intel,"Core i7",2.70,16,SSD,512,0,AMD,Mac,1,135195
5,Apple,Ultrabook,13.3,2560,1600,0,Intel,"Core i5",3.10,8,SSD,256,0,Intel,Mac,1,96096
6,Acer,Notebook,15.6,1366,768,0,AMD,"A9-Series 9420",3.00,4,HDD,500,0,AMD,Windows,2,21312
7,Apple,Ultrabook,15.4,2880,1800,0,Intel,"Core i7",2.20,16,"Flash Storage",256,0,Intel,Mac,2,114018
8,Apple,Ultrabook,13.3,1440,900,0,Intel,"Core i5",1.80,8,"Flash Storage",256,0,Intel,Mac,1,61736
9,Asus,Ultrabook,14,1920,1080,0,Intel,"Core i7",1.80,16,SSD,512,0,Nvidia,Windows,1,79654
10,Acer,Ultrabook,14,1920,1080,0,Intel,"Core i5",1.60,8,SSD,256,0,Intel,Windows,1,41026
11,HP,Notebook,15.6,1366,768,0,Intel,"Core i5",2.50,4,HDD,500,0,Intel,N/A,1,20987
12,HP,Notebook,15.6,1920,1080,0,Intel,"Core i3",2.00,4,HDD,500,0,Intel,N/A,1,18381
13,Apple,Ultrabook,15.4,2880,1800,0,Intel,"Core i7",2.80,16,SSD,256,0,AMD,Mac,1,130002
14,Dell,Notebook,15.6,1920,1080,0,Intel,"Core i3",2.00,4,SSD,256,0,AMD,Windows,2,26581
15,Apple,Ultrabook,12,2304,1440,0,Intel,"Core M",1.20,8,SSD,256,0,Intel,Mac,0,67261
16,Apple,Ultrabook,13.3,2560,1600,0,Intel,"Core i5",2.30,8,SSD,256,0,Intel,Mac,1,80908
17,Dell,Notebook,15.6,1920,1080,0,Intel,"Core i7",2.70,8,SSD,256,0,AMD,Windows,2,39694
18,Apple,Ultrabook,15.4,2880,1800,0,Intel,"Core i7",2.90,16,SSD,512,0,AMD,Mac,1,152274
19,Lenovo,Notebook,15.6,1920,1080,0,Intel,"Core i3",2.40,8,HDD,1024,0,Nvidia,N/A,2,26587
20,Dell,Ultrabook,13.3,1920,1080,1,Intel,"Core i5",1.60,8,SSD,128,0,Intel,Windows,1,52161
21,Lenovo,Gaming,15.6,1920,1080,0,Intel,"Core i5",2.50,8,hybrid,128,1024,Nvidia,Windows,2,53227
22,HP,Notebook,15.6,1366,768,0,AMD,"E-Series E2-9000e",1.50,4,HDD,500,0,AMD,N/A,1,13746
23,Dell,"2 in 1 Convertible",13.3,1920,1080,1,Intel,"Core i5",1.60,8,SSD,256,0,Intel,Windows,1,43636
24,HP,Ultrabook,15.6,1920,1080,0,Intel,"Core i7",1.80,8,SSD,256,0,Intel,Windows,1,35112
25,Dell,Notebook,15.6,1366,768,0,Intel,"Core i3",2.00,4,HDD,1024,0,Intel,Windows,2,22305
26,Apple,Ultrabook,13.3,1440,900,0,Intel,"Core i5",1.60,8,"Flash Storage",128,0,Intel,Mac,1,58555
27,Dell,Notebook,15.6,1920,1080,0,Intel,"Core i5",1.60,8,SSD,256,0,AMD,Windows,2,42624
28,Dell,Ultrabook,15.6,1920,1080,0,Intel,"Core i7",1.90,8,SSD,256,256,Intel,Windows,1,69157
29,HP,Notebook,17.3,1920,1080,0,Intel,"Core i5",1.60,8,HDD,1024,0,Nvidia,Windows,2,47739
30,Chuwi,Notebook,15.6,1920,1080,0,Intel,"Atom x5-Z8300",1.44,4,"Flash Storage",64,0,Intel,Windows,1,13053
31,Asus,Notebook,14,1366,768,0,AMD,"E-Series E2-6110",1.50,2,"Flash Storage",32,0,AMD,Windows,1,10603
32,HP,Notebook,17.3,1920,1080,0,AMD,"A6-Series 9220",2.50,4,HDD,500,0,AMD,Windows,2,23390
33,Dell,Ultrabook,13.3,3200,1800,1,Intel,"Core i7",1.80,16,SSD,512,0,Intel,Windows,1,99580
34,Apple,Ultrabook,13.3,1440,900,0,Intel,"Core i5",1.60,8,"Flash Storage",256,0,Intel,Mac,1,53173
35,Lenovo,Notebook,14,1366,768,0,Intel,"Celeron Dual",1.10,4,"Flash Storage",64,0,Intel,Windows,1,13267
36,Acer,Notebook,15.6,1366,768,0,Intel,"Core i3",2.70,4,HDD,1024,0,Intel,Linux,2,19554
37,Dell,Notebook,17.3,1920,1080,0,Intel,"Core i5",1.60,8,hybrid,128,1024,AMD,Windows,2,52161
38,HP,Notebook,15.6,1366,768,0,Intel,"Core i5",2.50,4,HDD,1024,0,Intel,Windows,1,26037
39,HP,Notebook,15.6,1920,1080,0,Intel,"Core i5",1.60,8,SSD,256,0,Nvidia,Windows,2,46833
40,Asus,Notebook,15.6,1920,1080,0,Intel,"Core i3",2.00,4,HDD,1024,0,Intel,Linux,2,20726
41,Dell,Gaming,15.6,1920,1080,0,Intel,"Core i7",2.80,16,hybrid,256,1024,Nvidia,Windows,2,79867
42,Asus,Notebook,15.6,1366,768,0,Intel,"Core i5",2.50,8,HDD,1024,0,Nvidia,Linux,2,27865
43,Acer,Notebook,15.6,1920,1080,0,Intel,"Core i5",1.60,4,SSD,256,0,Intel,Windows,2,36337
44,Dell,"2 in 1 Convertible",17.3,1920,1080,1,Intel,"Core i5",1.60,12,HDD,1024,0,Nvidia,Windows,2,53227
45,Apple,Ultrabook,13.3,2560,1600,0,Intel,"Core i5",2.00,8,SSD,256,0,Intel,Mac,1,75604
46,Asus,Gaming,17.3,1920,1080,0,AMD,"Ryzen 1700",3.00,8,hybrid,256,1024,AMD,Windows,3,69211
47,Dell,Notebook,15.6,1920,1080,0,Intel,"Core i5",2.50,4,SSD,256,0,AMD,Windows,2,34046
48,Asus,Notebook,17.3,1366,768,0,Intel,"Pentium Quad",1.10,4,HDD,1024,0,Nvidia,Windows,2,24828
49,Acer,Notebook,15.6,1920,1080,0,Intel,"Core i7",1.80,8,SSD,256,0,Nvidia,Windows,2,44808
50,HP,Notebook,15.6,1920,1080,0,AMD,"A6-Series 9220",2.50,4,SSD,256,0,AMD,Windows,1,21232
51,HP,Notebook,13.3,1920,1080,0,Intel,"Core i7",1.80,8,SSD,512,0,Intel,Windows,1,58768
52,Acer,Notebook,15.6,1366,768,0,Intel,"Core i3",2.40,4,HDD,1024,0,Intel,Windows,2,20460
53,Dell,Notebook,15.6,1920,1080,0,Intel,"Core i7",1.80,8,SSD,256,0,AMD,Windows,2,40908
54,HP,Notebook,15.6,1920,1080,0,Intel,"Core i3",2.00,4,SSD,128,0,Intel,Windows,1,23390
55,Asus,Notebook,15.6,1366,768,0,Intel,"Core i5",2.50,4,SSD,256,0,Intel,Windows,2,31232
56,MSI,Gaming,17.3,1920,1080,0,Intel,"Core i7",2.80,16,hybrid,256,2048,Nvidia,Windows,2,130483
57,Asus,Notebook,15.6,1920,1080,0,Intel,"Core i3",2.00,4,SSD,256,0,Intel,Linux,2,22111
58,Dell,Notebook,17.3,1920,1080,0,Intel,"Core i7",1.80,16,hybrid,256,2048,AMD,Windows,2,69211
59,Dell,Ultrabook,14,1920,1080,0,Intel,"Core i5",1.60,8,SSD,256,0,Intel,Windows,1,46833
60,Lenovo,Notebook,14,1920,1080,0,Intel,"Core i3",2.70,8,SSD,256,0,Intel,N/A,1,31915
61,Asus,Notebook,14,1920,1080,0,Intel,"Core i5",1.60,8,SSD,256,0,Intel,Windows,1,50136
62,HP,Notebook,15.6,1920,1080,0,Intel,"Core i5",2.50,8,SSD,256,0,Intel,Windows,1,36763
63,Asus,Ultrabook,15.6,1920,1080,0,Intel,"Core i7",2.80,16,SSD,512,0,Nvidia,Windows,1,105654
64,HP,Notebook,15.6,1366,768,0,Intel,"Core i3",2.00,4,HDD,500,0,AMD,Windows,1,23373
65,HP,Notebook,14,1366,768,0,Intel,"Celeron Dual",1.60,4,SSD,32,0,Intel,Windows,1,12201
66,Lenovo,Notebook,15.6,1920,1080,0,Intel,"Core i5",2.50,4,HDD,1024,0,Intel,Windows,1,29251
67,Asus,Gaming,17.3,1920,1080,0,Intel,"Core i7",2.80,12,HDD,1024,0,Nvidia,Linux,3,50563
68,Microsoft,Ultrabook,13.5,2256,1504,1,Intel,"Core i5",2.50,4,SSD,128,0,Intel,Windows,1,58022
69,Dell,Ultrabook,13.3,1920,1080,0,Intel,"Core i7",1.80,64,SSD,256,0,AMD,Windows,1,50882
70,Dell,Notebook,15.6,1920,1080,0,Intel,"Core i7",1.80,8,SSD,256,0,AMD,Windows,2,46354
71,MSI,Gaming,17.3,1920,1080,0,Intel,"Core i5",2.50,8,hybrid,128,1024,Nvidia,Windows,2,58342
72,Acer,Notebook,14,1366,768,0,Intel,"Core i3",2.00,8,HDD,1024,0,Intel,Windows,2,20726
73,Asus,Gaming,15.6,1920,1080,0,Intel,"Core i7",2.80,8,HDD,1024,0,Nvidia,Windows,2,50563
74,Lenovo,Notebook,15.6,1920,1080,0,Intel,"Core i5",2.50,8,HDD,2048,0,Intel,N/A,2,27652
75,Dell,Notebook,15.6,1920,1080,0,Intel,"Core i7",1.80,8,hybrid,128,1024,Intel,Windows,2,45554
76,Acer,Notebook,15.6,1920,1080,0,Intel,"Core i3",2.70,4,HDD,1024,0,Nvidia,Windows,2,28238
